feature;product attribute;distinct;mean;std;min;median;max;IQR
acidity;intrinsic; 1405.0 ; 3.2 ; 0.4 ; 2.1 ; 3.0 ; 4.6 ; 0.3 
alcohol;intrinsic; 59.0 ; 16.3 ; 3.5 ; 9.0 ; 14.5 ; 21.5 ; 7.0 
all_vintage_ratings_average;extrinsic; 17.0 ; 3.9 ; 0.2 ; 3.1 ; 3.9 ; 4.7 ; 0.3 
all_vintage_ratings_count;extrinsic; 1125.0 ; 17184.8 ; 24007.8 ; 25.0 ; 6458.0 ; 87919.0 ; 16090.0 
amount_flavor_words;intrinsic; 13.0 ; 12.2 ; 1.5 ; 1.0 ; 13.0 ; 13.0 ; 1.0 
amount_food_words;extrinsic; 5.0 ; 3.5 ; 0.8 ; 2.0 ; 3.0 ; 6.0 ; 1.0 
amount_grapes;intrinsic; 5.0 ; 3.4 ; 1.3 ; 1.0 ; 3.0 ; 6.0 ; 0.0 
comments_on_review;personal; 116.0 ; 0.9 ; 5.3 ; 0.0 ; 0.0 ; 228.0 ; 0.0 
fizziness;intrinsic; 10.0 ; 0.0 ; 0.2 ; 0.0 ; 0.0 ; 4.0 ; 0.0 
intensity;intrinsic; 1404.0 ; 3.8 ; 0.9 ; 1.5 ; 4.2 ; 5.0 ; 0.8 
likes_on_review;personal; 346.0 ; 7.2 ; 26.3 ; 0.0 ; 1.0 ; 868.0 ; 2.0 
price;extrinsic; 1035.0 ; 27.1 ; 39.5 ; 3.5 ; 15.0 ; 470.0 ; 17.8 
review_rating;personal; 41.0 ; 3.9 ; 0.7 ; 1.0 ; 4.0 ; 5.0 ; 0.7 
review_rating_label;personal; 9.0 ; 3.9 ; 0.7 ; 1.0 ; 4.0 ; 5.0 ; 0.5 
ratings_average;extrinsic; 18.0 ; 3.9 ; 0.6 ; 0.0 ; 3.9 ; 4.8 ; 0.3 
ratings_number;extrinsic; 673.0 ; 10229.4 ; 22301.4 ; 0.0 ; 1811.0 ; 87919.0 ; 5998.0 
sweetness;intrinsic; 1399.0 ; 3.1 ; 1.4 ; 0.0 ; 2.2 ; 5.0 ; 2.7 
tannin;intrinsic; 690.0 ; 1.0 ; 1.5 ; 0.0 ; 0.0 ; 4.1 ; 2.8 
user_follower;personal; 1514.0 ; 357.2 ; 2051.4 ; 0.0 ; 7.0 ; 54688.0 ; 58.0 
user_following;personal; 1152.0 ; 131.0 ; 488.3 ; 0.0 ; 7.0 ; 5111.0 ; 49.0 
user_purchase_made;personal; 139.0 ; 2.5 ; 12.1 ; 0.0 ; 0.0 ; 449.0 ; 0.0 
user_total_given_ratings;personal; 3032.0 ; 865.0 ; 1624.0 ; 0.0 ; 231.0 ; 15236.0 ; 897.0 
user_total_given_reviews;personal; 2681.0 ; 748.0 ; 1535.7 ; 0.0 ; 157.0 ; 15234.0 ; 715.0 
user_total_sum_ratings;personal; 19224.0 ; 3224.9 ; 6069.3 ; 0.0 ; 870.8 ; 55669.0 ; 3314.1 
